passenger_id,survived,pclass,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked
40,1,2,Braund Mr. Owen Harris,female,14,1,0,A/5 21171,30.07,C85,C
41,0,3,Cumings Mrs. John Bradley,male,22,1,0,PC 17599,7.25,C123,S
42,1,1,Heikkinen Miss. Laina,female,38,1,0,STON/O2. 3101282,71.28,E46,C
43,1,3,Braund Mr. Owen Harris,male,26,0,0,A/5 21171,7.92,C85,S
44,1,1,Cumings Mrs. John Bradley,female,35,1,0,PC 17599,53.1,C123,S
45,0,3,Heikkinen Miss. Laina,male,35,0,0,STON/O2. 3101282,8.05,E46,S
46,0,3,Braund Mr. Owen Harris,female,28,0,0,A/5 21171,8.46,C85,Q
47,0,1,Cumings Mrs. John Bradley,male,54,0,0,PC 17599,51.86,C123,S
48,0,3,Heikkinen Miss. Laina,female,2,3,1,STON/O2. 3101282,21.07,E46,S
49,1,3,Braund Mr. Owen Harris,male,27,0,2,A/5 21171,11.13,C85,S
50,1,2,Cumings Mrs. John Bradley,female,14,1,0,PC 17599,30.07,C123,C
51,0,3,Heikkinen Miss. Laina,male,22,1,0,STON/O2. 3101282,7.25,E46,S
52,1,1,Braund Mr. Owen Harris,female,38,1,0,A/5 21171,71.28,C85,C
53,1,3,Cumings Mrs. John Bradley,male,26,0,0,PC 17599,7.92,C123,S
54,1,1,Heikkinen Miss. Laina,female,35,1,0,STON/O2. 3101282,53.1,E46,S
55,0,3,Braund Mr. Owen Harris,male,35,0,0,A/5 21171,8.05,C85,S
56,0,3,Cumings Mrs. John Bradley,female,28,0,0,PC 17599,8.46,C123,Q
57,0,1,Heikkinen Miss. Laina,male,54,0,0,STON/O2. 3101282,51.86,E46,S
58,0,3,Braund Mr. Owen Harris,female,2,3,1,A/5 21171,21.07,C85,S
59,1,3,Cumings Mrs. John Bradley,male,27,0,2,PC 17599,11.13,C123,S
60,1,2,Heikkinen Miss. Laina,female,14,1,0,STON/O2. 3101282,30.07,E46,C
61,0,3,Braund Mr. Owen Harris,male,22,1,0,A/5 21171,7.25,C85,S
62,1,1,Cumings Mrs. John Bradley,female,38,1,0,PC 17599,71.28,C123,C
63,1,3,Heikkinen Miss. Laina,male,26,0,0,STON/O2. 3101282,7.92,E46,S
64,1,1,Braund Mr. Owen Harris,female,35,1,0,A/5 21171,53.1,C85,S
65,0,3,Cumings Mrs. John Bradley,male,35,0,0,PC 17599,8.05,C123,S
66,0,3,Heikkinen Miss. Laina,female,28,0,0,STON/O2. 3101282,8.46,E46,Q
67,0,1,Braund Mr. Owen Harris,male,54,0,0,A/5 21171,51.86,C85,S
68,0,3,Cumings Mrs. John Bradley,female,2,3,1,PC 17599,21.07,C123,S
69,1,3,Heikkinen Miss. Laina,male,27,0,2,STON/O2. 3101282,11.13,E46,S
70,1,2,Braund Mr. Owen Harris,female,14,1,0,A/5 21171,30.07,C85,C
71,0,3,Cumings Mrs. John Bradley,male,22,1,0,PC 17599,7.25,C123,S
72,1,1,Heikkinen Miss. Laina,female,38,1,0,STON/O2. 3101282,71.28,E46,C
73,1,3,Braund Mr. Owen Harris,male,26,0,0,A/5 21171,7.92,C85,S
74,1,1,Cumings Mrs. John Bradley,female,35,1,0,PC 17599,53.1,C123,S
75,0,3,Heikkinen Miss. Laina,male,35,0,0,STON/O2. 3101282,8.05,E46,S
76,0,3,Braund Mr. Owen Harris,female,28,0,0,A/5 21171,8.46,C85,Q
77,0,1,Cumings Mrs. John Bradley,male,54,0,0,PC 17599,51.86,C123,S
78,0,3,Heikkinen Miss. Laina,female,2,3,1,STON/O2. 3101282,21.07,E46,S
79,1,3,Braund Mr. Owen Harris,male,27,0,2,A/5 21171,11.13,C85,S
80,1,2,Cumings Mrs. John Bradley,female,14,1,0,PC 17599,30.07,C123,C
81,0,3,Heikkinen Miss. Laina,male,22,1,0,STON/O2. 3101282,7.25,E46,S
82,1,1,Braund Mr. Owen Harris,female,38,1,0,A/5 21171,71.28,C85,C
83,1,3,Cumings Mrs. John Bradley,male,26,0,0,PC 17599,7.92,C123,S
84,1,1,Heikkinen Miss. Laina,female,35,1,0,STON/O2. 3101282,53.1,E46,S
85,0,3,Braund Mr. Owen Harris,male,35,0,0,A/5 21171,8.05,C85,S
86,0,3,Cumings Mrs. John Bradley,female,28,0,0,PC 17599,8.46,C123,Q
87,0,1,Heikkinen Miss. Laina,male,54,0,0,STON/O2. 3101282,51.86,E46,S
88,0,3,Braund Mr. Owen Harris,female,2,3,1,A/5 21171,21.07,C85,S
89,1,3,Cumings Mrs. John Bradley,male,27,0,2,PC 17599,11.13,C123,S
90,1,2,Heikkinen Miss. Laina,female,14,1,0,STON/O2. 3101282,30.07,E46,C
91,0,3,Braund Mr. Owen Harris,male,22,1,0,A/5 21171,7.25,C85,S
92,1,1,Cumings Mrs. John Bradley,female,38,1,0,PC 17599,71.28,C123,C
93,1,3,Heikkinen Miss. Laina,male,26,0,0,STON/O2. 3101282,7.92,E46,S
94,1,1,Braund Mr. Owen Harris,female,35,1,0,A/5 21171,53.1,C85,S
95,0,3,Cumings Mrs. John Bradley,male,35,0,0,PC 17599,8.05,C123,S
96,0,3,Heikkinen Miss. Laina,female,28,0,0,STON/O2. 3101282,8.46,E46,Q
97,0,1,Braund Mr. Owen Harris,male,54,0,0,A/5 21171,51.86,C85,S
98,0,3,Cumings Mrs. John Bradley,female,2,3,1,PC 17599,21.07,C123,S
99,1,3,Heikkinen Miss. Laina,male,27,0,2,STON/O2. 3101282,11.13,E46,S
100,1,2,Johnson Mr.,female,14,1,0,347082,30.07,C23,C
